"Countryname","happiness","GDP","Social_support","Healthy_life_expectancy","Freedom","Generosity","Perceptions_of_corruption","continent"
"Afghanistan","2.6849230562222","7.5880975655","0.44540244288889","53.435555572222","0.40384961177778","-0.05879925125","0.87973506933333","Asia"
"Albania","4.9162148308889","9.4894391284444","0.677286947","69.031348951111","0.77200982355556","-0.041185600444444","0.88846864477778","Europe"
"Algeria","5.0855113322857","9.3815141122857","0.80251961028571","66.208453465714","0.48712423466667","-0.10447772933333","0.73392880283333","Africa"
"Argentina","6.1367480944444","9.9978888297778","0.89946557033333","67.472644721111","0.83679563222222","-0.17607276322222","0.83651616155556","South America"
"Armenia","4.910645061","9.4524204202222","0.76482176266667","66.91885102","0.72781052944444","-0.16646212022222","0.75112676711111","Asia"
"Australia","7.1958513926667","10.793050914444","0.94306591333333","71.492170884444","0.90683452055556","0.20419561266667","0.43329869777778","Australia"
"Austria","7.1853118726667","10.88839644","0.91812632177778","71.330834624444","0.88943126988889","0.086011718333333","0.509082319","Europe"
"Azerbaijan","5.182876314","9.5887055728571","0.81047254428571","63.98777033","0.77648785985714","-0.22179467914286","0.56455241171429","Asia"
"Bangladesh","4.5177946442222","8.5118731461111","0.62998519133333","64.308453077778","0.87514696477778","-0.047777879333333","0.67329008088889","Asia"
"Belarus","5.5112635862857","9.8254283261429","0.91270524728571","65.729618852857","0.64166579414286","-0.15181962085714","0.64484552342857","Europe"
"Belgium","6.8732430848889","10.819230416667","0.91169147577778","70.849961222222","0.83201080777778","-0.043376274555556","0.56689794266667","Europe"
"Benin","4.6815240482222","7.9972690942222","0.45212614222222","55.113385244444","0.74142560688889","-0.030820464222222","0.717450865","Africa"
"Bhutan","5.082128525","9.197989464","0.847574413","62.59999847","0.83010155","0.275951028","0.633955777","Asia"
"Bolivia","5.7689991421111","8.9961805192222","0.80693401977778","63.316719055556","0.87530225833333","-0.077053365888889","0.83614942066667","South America"
"Bosnia and Herzegovina","5.55137114475","9.523077447125","0.815869957125","67.33514199875","0.6639640975","0.098209175","0.937380450875","Europe"
"Botswana","3.5016009068889","9.630905971","0.77637130677778","54.932605801111","0.81145186077778","-0.22120060733333","0.795533606","Africa"
"Brazil","6.3315992968889","9.5880888391111","0.887228483","65.556129624444","0.79841006922222","-0.080950210333333","0.76428287377778","South America"
"Bulgaria","5.1354404695556","9.9989821462222","0.93188519211111","66.378219604444","0.738659304","-0.14138110166667","0.93367774677778","Europe"
"Burkina Faso","4.647535606875","7.596547749125","0.706307682125","54.2814326925","0.671551610875","-0.000632469","0.735788495","Africa"
"Burundi","3.7751943746667","6.5782994463333","0.48834698066667","54.000000763333","0.632916276","-0.021396089333333","0.60418073533333","Africa"
"Cambodia","4.6278966213333","8.3176977495556","0.76245220222222","61.447774081111","0.95732985644444","0.080110959","0.837183462125","Asia"
"Cameroon","5.0031146196667","8.202427001","0.67927707255556","53.81577137","0.73924933588889","0.0095756218888889","0.85415100322222","Africa"
"Canada","7.1745661484444","10.774300071111","0.92850105411111","71.805733066667","0.91194706122222","0.15692846255556","0.405588424","North America"
"Central African Republic","3.2149410246667","6.688477357","0.309744388","45.083333333333","0.63672983633333","0.065870398","0.88014856966667","Africa"
"Chad","4.3577147751111","7.3756522071111","0.659870907","51.022059898889","0.591646415","0.067368583555556","0.813129588","Africa"
"Chile","6.3288994318889","10.104799754444","0.87167258077778","69.905624051111","0.747930741","-0.022393737555556","0.830005401","South America"
"China","5.3180943752222","9.614081947375","0.79534647425","68.602649025","0.89747824066667","-0.170065577375","0.7453237","Asia"
"Colombia","6.0899501686667","9.5746938086667","0.87277659777778","68.647287387778","0.82356098933333","-0.13955532911111","0.85846126611111","South America"
"Republic of the Congo","5.1117189496667","8.2769548747778","0.63177665111111","56.435608853333","0.73786305577778","-0.076041566444444","0.76318567688889","Africa"
"Democratic Republic of the Congo","3.9101511608333","6.9179360123333","0.71321981983333","53.687500636667","0.65737745583333","0.042662926833333","0.83826732766667","Africa"
"Costa Rica","7.0255061284444","9.8891748038889","0.89430840022222","70.299983384444","0.91755553122222","-0.089214475111111","0.77946175211111","South America"
"Croatia","5.5797651112222","10.235931652222","0.86760098844444","68.926544976667","0.70342187322222","-0.12589924322222","0.90408497144444","Europe"
"Cyprus","6.0095403807778","10.54354843125","0.80331784244444","72.600247192222","0.74394054677778","0.004621953","0.86698583811111","Asia"
"Cyprus","6.0095403807778","10.54354843125","0.80331784244444","72.600247192222","0.74394054677778","0.004621953","0.86698583811111","Asia"
"Czech Republic","6.7845758945","10.57405137","0.9281148995","68.695835875","0.8485941495","-0.11595479","0.86580115116667","Europe"
"Denmark","7.6004736853333","10.916096001111","0.95738614355556","71.275278218889","0.94498125122222","0.109583489","0.18371614477778","Europe"
"Dominican Republic","5.5183146968889","9.7493965454444","0.86787815811111","64.323165106667","0.86196102944444","-0.111054874","0.72709176377778","South America"
"Ecuador","5.8879449684444","9.3252671354444","0.83284139244444","68.394448683333","0.83196539411111","-0.10730170255556","0.79852702233333","South America"
"Egypt","4.2455407702222","9.3063808848889","0.74320065188889","62.614572374444","0.69834403122222","-0.17355666944444","0.7329504728","Africa"
"El Salvador","6.246346146","9.0557500382222","0.78817015","65.006362006667","0.84284712277778","-0.13219849977778","0.727255361","South America"
"Estonia","6.0406486663333","10.448561634444","0.93479463511111","68.964439731111","0.878999432","-0.079794285888889","0.55800320833333","Europe"
"Ethiopia","4.1900453637778","7.6239072385556","0.73283806077778","59.437509965556","0.73826265311111","0.11136087111111","0.73943488322222","Africa"
"Finland","7.7464637858889","10.757592793333","0.95742921277778","71.169535996667","0.94929316011111","-0.021355735","0.20144850511111","Europe"
"France","6.6058011772222","10.694205208889","0.91617405288889","72.444659424444","0.81622687622222","-0.11631468522222","0.58390339733333","Europe"
"Gabon","4.8698180953333","9.5883513175556","0.77509622288889","57.917148935556","0.69502146088889","-0.20029398366667","0.833187787","Africa"
"Gambia","4.6519580677143","7.588037475","0.66150522385714","56.58171716","0.69041435457143","0.35223345114286","0.75203760057143","Africa"
"Georgia","4.7263765865556","9.5346960551111","0.63377751644444","64.563354493333","0.76050500677778","-0.24223219533333","0.63112962033333","Asia"
"Germany","6.9855631797778","10.860298277778","0.90480350511111","71.111335415556","0.87176708866667","0.082514363888889","0.442559991","Europe"
"Ghana","4.7759995107778","8.5172855986667","0.69284331455556","57.658665235556","0.79506617877778","0.086021330333333","0.87409437011111","Africa"
"Greece","5.611587334","10.266843858889","0.82470374722222","71.186696373333","0.54262158211111","-0.28943891688889","0.85035484411111","Europe"
"Guatemala","6.3524466577778","9.0404009653333","0.81370939144444","62.785216247778","0.88692695288889","-0.030878786","0.80023055722222","South America"
"Guinea","4.7026638726667","7.7923030396667","0.63127560888889","53.367866852222","0.70494291444444","0.067623726","0.77045372766667","South America"
"Guinea","4.7026638726667","7.7923030396667","0.63127560888889","53.367866852222","0.70494291444444","0.067623726","0.77045372766667","South America"
"Haiti","3.6161093695","7.8556503855","0.577711807","55.24977099","0.48475976883333","0.34120311983333","0.7315551115","South America"
"Honduras","5.7976728643333","8.593061766","0.79359341888889","63.73186335","0.82473735144444","0.062047697666667","0.81447740955556","South America"
"Hungary","5.8543264078889","10.334728512222","0.91856587855556","67.251107957778","0.69677486555556","-0.15875682155556","0.88545468411111","Europe"
"Iceland","7.5064975051111","10.89106212","0.979908918375","72.23749981","0.945738617","0.23614371785714","0.691082318625","Europe"
"India","3.8880357986667","8.750863294","0.604500993","60.147243092222","0.86818933922222","0.055005494777778","0.77444303277778","Asia"
"Indonesia","5.2729579364444","9.3389784495556","0.80729459288889","62.596093877778","0.86072054588889","0.513591139","0.88284224588889","Asia"
"Iran","4.7389031911111","9.6196509195556","0.68974876011111","66.184016587778","0.658888985","0.16478536255556","0.72223748477778","Asia"
"Iraq","4.7297349380556","9.2589040058571","0.72481497028571","61.421649775714","0.628621081","-0.030736913714286","0.825443406","Asia"
"Ireland","7.0119725542222","11.331116205556","0.93736868455556","71.322310045556","0.88457000011111","0.14154290666667","0.36837735611111","Europe"
"Israel","7.2499349256667","10.576577955556","0.91945131977778","72.527806091111","0.77598219822222","0.070165855111111","0.75507724677778","Asia"
"Italy","6.2774331821111","10.621024135556","0.89203236888889","72.258520507778","0.66333441777778","-0.052871884333333","0.87063200566667","Europe"
"Ivory Coast","5.014075627","8.4753448858889","0.63259801377778","53.371752696667","0.74046599466667","-0.037951502333333","0.77072146622222","Africa"
"Jamaica","6.0100694606429","9.166448621","0.88643114483333","66.833332313333","0.86594720483333","-0.12238156783333","0.88761004733333","South America"
"Japan","5.9516040212222","10.619296153333","0.89207455877778","74.241662194444","0.81010193644444","-0.21584108933333","0.65453568477778","Asia"
"Jordan","4.6754943148889","9.1501965746667","0.79217587655556","67.444415788889","0.75864141122222","-0.13617759344444","0.70173222825","Asia"
"Kazakhstan","6.0006646575556","10.140391445556","0.93356423722222","64.756883955556","0.81792140344444","-0.049338411875","0.73798146544444","Asia"
"Kenya","4.5143221371111","8.360352807","0.705705276","58.077770332222","0.78275412733333","0.27589462833333","0.83998345166667","Africa"
"Kosovo","6.1142329365556","9.2815772111111","0.82882712044444","64.297851756667","0.82593911666667","0.20519792844444","0.90115454544444","Europe"
"Kuwait","6.0856220117143","10.878583048333","0.84212102583333","69.048774465","0.8589085865","-0.052678474666667","0.7484245295","Asia"
"Kyrgyzstan","5.4613768517778","8.478185847","0.89410240555556","65.164890472222","0.89762502722222","0.14914507888889","0.89084864577778","Asia"
"Laos","4.968499841","8.914466474","0.7143366725","59.87065418","0.90667145516667","0.098884774833333","0.64029494883333","Asia"
"Latvia","5.9910674751111","10.288488235556","0.91674458733333","66.311940511111","0.70763059533333","-0.13356994544444","0.81471161111111","Europe"
"Lebanon","4.3208910016667","9.6336098674444","0.75315471244444","66.231731234444","0.54584739133333","-0.063286504888889","0.89156812711111","Asia"
"Lesotho","3.6556044675","7.894523597","0.7847624064","45.21072525","0.7310868912","-0.1280836602","0.8454152662","Africa"
"Liberia","4.1115813458889","7.2820093833333","0.66961587966667","54.943812693333","0.730761134","0.049985508","0.85911218244444","Africa"
"Libya","5.4884057264286","9.9101793117143","0.83866282557143","64.049999891429","0.78032935971429","-0.10086894514286","0.668219293","Africa"
"Lithuania","6.2771027743333","10.460415477778","0.93076053444444","66.705230556667","0.71803023777778","-0.21781365188889","0.82478865844444","Europe"
"Luxembourg","7.1549305335556","11.629426407778","0.90738075977778","71.81111128","0.90827121055556","0.003079851","0.36443396333333","Europe"
"Malawi","3.5503683058889","7.2297347661111","0.52958177966667","56.973987542222","0.788863311","0.020038394777778","0.75599066588889","Africa"
"Malaysia","5.6524561668571","10.197894323333","0.81367218566667","66.181859343333","0.85525804516667","0.14446899483333","0.82504492933333","Asia"
"Mali","4.5116162295556","7.6699555528889","0.72714605244444","53.766553484444","0.714421435","-0.044380092777778","0.82471501411111","Africa"
"Mauritania","4.3987418573333","8.534164811","0.76849892966667","59.096797342222","0.54378223433333","-0.083076522111111","0.73102705877778","Africa"
"Mexico","6.5114058042222","9.87638414","0.83285858333333","66.388449421111","0.83218528233333","-0.15399726922222","0.78761322944444","North America"
"Moldova","5.6984029302222","9.3417872245556","0.84258756522222","64.4678903","0.72500556033333","-0.074037524777778","0.91873122522222","Europe"
"Mongolia","5.4624587474444","9.3747121675556","0.93566836566667","60.71160931","0.70505690144444","0.13143685411111","0.86697340877778","Asia"
"Montenegro","5.5089556686667","9.8702529345","0.8471866515","67.28804352625","0.657627089375","-0.06697961125","0.801740085375","Europe"
"Morocco","5.0363759884444","8.9652519837778","0.58447666577778","64.167248914444","0.77793927433333","-0.24037654944444","0.80329088488889","Africa"
"Mozambique","4.6601744596667","7.1369360475","0.711960004","51.33022784375","0.860483946875","0.045196774875","0.67520550875","Africa"
"Myanmar","4.37235318","8.431469240125","0.778492243875","60.112713985","0.85934055025","0.581455334875","0.64388241375","Asia"
"Namibia","4.6337525612857","9.1868545575714","0.82814084357143","56.364497372857","0.73448428785714","-0.16121937157143","0.84764215114286","Africa"
"Nepal","5.1386506616667","8.1572985201111","0.77804846722222","61.748242068889","0.80447905222222","0.15215415755556","0.76365584244444","Asia"
"Netherlands","7.4353535325556","10.915225391111","0.92915820655556","71.569546508889","0.90153639055556","0.21382754411111","0.38666164788889","Europe"
"New Zealand","7.2467820803333","10.637075602222","0.95291763822222","70.847514682222","0.91720862688889","0.20314480855556","0.23790241166667","Australia"
"Nicaragua","6.1227849382222","8.6200388895556","0.85159266566667","65.921019747778","0.84650978122222","0.024202449333333","0.66581946877778","South America"
"Niger","4.6305839697778","7.0478873108889","0.63358970422222","54.931121623333","0.76466528122222","0.0053912381111111","0.72781585477778","Africa"
"Nigeria","4.9252536944444","8.54644521525","0.7553686775","52.950613495","0.756849388","0.035238381875","0.881902601","Africa"
"Norway","7.4616128848889","11.072817294444","0.94894536833333","71.783420647778","0.95235958311111","0.15062787344444","0.29195837633333","Europe"
"Pakistan","5.1159605444444","8.494066577875","0.640290315625","57.00314196","0.70218306975","0.0663441445","0.764705576","Asia"
"Panama","6.2652687305556","10.289019191111","0.89469240822222","68.856112453333","0.87575852222222","-0.13363017966667","0.85176439122222","South America"
"Paraguay","5.7367442148333","9.47947702525","0.90572686925","65.7674919125","0.875198384125","-0.004534243","0.8387189925","South America"
"Peru","5.7469711637778","9.4342453594444","0.81884380233333","69.108359613333","0.81201624255556","-0.145870032","0.887287452","South America"
"Philippines","5.7577788767778","8.995913109625","0.834192989375","61.96434520375","0.9154628335","-0.090680963125","0.74260986125","Asia"
"Poland","6.2225011587778","10.352940343333","0.89086222488889","68.781903645556","0.83513194922222","-0.15739539655556","0.72653229855556","Europe"
"Portugal","5.7794157316667","10.401953548889","0.88221831133333","71.264113702222","0.87658850022222","-0.20858111666667","0.89885468111111","Europe"
"Romania","6.1563068394444","10.234660663333","0.82253014966667","66.837583948889","0.83656083477778","-0.18150625033333","0.93938250855556","Europe"
"Russia","5.6790359803333","10.176617286667","0.90725206711111","64.036161464444","0.72410444666667","-0.12681545533333","0.85453478855556","Europe"
"Rwanda","3.354424516","7.6051121268571","0.57975584028571","60.035549491429","0.90250911657143","0.048326710142857","0.16418358642857","Africa"
"Saudi Arabia","6.4196051737778","10.749218813333","0.87538963811111","64.434127081111","0.847477060125","-0.12023492544444","0.68587317066667","Asia"
"Senegal","4.8919214684444","8.1088608898889","0.70922908666667","59.300016761111","0.71714814422222","-0.042616549888889","0.81061722022222","Africa"
"Republic of Serbia","5.8312857742222","9.746040012375","0.872328968","67.14352659125","0.710875180125","-0.029187728125","0.846494433375","Europe"
"Sierra Leone","3.8842252902222","7.3718567878889","0.611481355","52.135126895556","0.68914191888889","0.087448972111111","0.85702821544444","Africa"
"Slovakia","6.2755351278889","10.3314715475","0.9336225245","68.39941769375","0.72489864475","-0.101745318625","0.91593305575","Europe"
"Slovenia","6.328532424","10.518143271111","0.93717164588889","70.725554185556","0.926269102","-0.042070575222222","0.81560451222222","Europe"
"Somalia","5.0107929705","6.959106207","0.596848816","48.299999235","0.942596048","0.0461747295","0.4255187515","Africa"
"South Africa","4.9166784376667","9.498038704","0.869049412625","55.768626495","0.769176710125","-0.102907347625","0.84959696675","Africa"
"South Korea","5.887347168","10.62974285","0.79863899933333","73.091970316667","0.64183973622222","-0.036536593","0.78135136388889","Asia"
"South Sudan","3.148026526","7.425359726","0.556865737","52.6312494275","0.46471868475","0.016518548","0.754902661","Africa"
"Spain","6.3961190067778","10.561245274444","0.93108003411111","72.575300086667","0.75915008966667","-0.054750833111111","0.75925624044444","Europe"
"Sri Lanka","4.3932945927778","9.4777780991429","0.83020943457143","66.992724094286","0.83970525128571","0.095872653714286","0.85041895028571","Asia"
