Country,average
Afghanistan,3.355149988
Albania,4.740950003
Algeria,5.557183332
Argentina,6.378616659
Armenia,4.440466617
Australia,7.26729995
Austria,7.167366664
Azerbaijan,5.218466729
Bahrain,6.132716677
Bangladesh,4.622299952
Belarus,5.588316599
Belgium,6.911749985
Benin,4.120166691
Bolivia,5.802249983
Bosnia and Herzegovina,5.247183347
Botswana,3.771483331
Brazil,6.610766682
Bulgaria,4.699083377
Burkina Faso,4.189616698
Burundi,3.19505
Cambodia,4.312566723
Cameroon,4.760650012
Canada,7.330849999
Chad,4.07328334
Chile,6.529249973
China,5.20314995
Colombia,6.310566675
Costa Rica,7.125399979
Croatia,5.466283401
Cyprus,5.803833289
Denmark,7.562599946
Dominican Republic,5.281033324
Ecuador,5.980866647
Egypt,4.337900037
El Salvador,6.161549961
Estonia,5.701800017
Ethiopia,4.38370003
Finland,7.582949991
France,6.539966613
Gabon,4.478050013
Georgia,4.394433261
Germany,6.953466693
Ghana,4.638333275
Greece,5.212833351
Guatemala,6.352983338
Guinea,4.03621663
Haiti,3.841466642
Honduras,5.359533349
Hungary,5.441233325
Iceland,7.509916683
India,4.17704999
Indonesia,5.257600045
Iran,4.686399985
Iraq,4.571133378
Ireland,6.985950028
Israel,7.139933324
Italy,6.083233396
Jamaica,5.699966657
Japan,5.916633349
Jordan,5.088566655
Kazakhstan,5.874983287
Kenya,4.471666693
Kosovo,5.726033314
Kuwait,6.140849986
Kyrgyzstan,5.234750047
Latvia,5.721833286
Lebanon,5.086583336
Liberia,3.958983324
Libya,5.578966691
Lithuania,5.977416638
Luxembourg,6.986250018
Madagascar,3.815433313
Malawi,3.825500023
Malaysia,5.817383391
Mali,4.304050013
Malta,6.573799987
Mauritania,4.358266625
Mauritius,5.772383325
Mexico,6.68183337
Moldova,5.73341665
Mongolia,5.100366675
Montenegro,5.334350022
Morocco,5.159300022
Myanmar,4.370500027
Nepal,4.866533295
Netherlands,7.411983346
New Zealand,7.310766709
Nicaragua,6.045683387
Niger,4.23876661
Nigeria,5.060183333
Norway,7.532166683
Pakistan,5.402216637
Panama,6.499133363
Paraguay,5.670850013
Peru,5.739800048
Philippines,5.490499978
Poland,6.015049975
Portugal,5.405650048
Romania,5.769283325
Russia,5.756499971
Rwanda,3.417549987
Saudi Arabia,6.381083288
Senegal,4.4918
Serbia,5.412366689
Sierra Leone,4.453733343
Singapore,6.515183336
Slovakia,6.13710002
Slovenia,5.967233313
South Africa,4.698349964
Spain,6.359649961
Sri Lanka,4.3816667
Sweden,7.324916635
Switzerland,7.519483294
Tajikistan,5.174116619
Tanzania,3.467700014
Thailand,6.238633265
Togo,3.651366659
Tunisia,4.672366637
Turkey,5.368133363
Turkmenistan,5.505016687
Uganda,4.088833335
Ukraine,4.349450023
United Arab Emirates,6.751966643
United Kingdom,6.952416744
United States,6.988933337
Uruguay,6.432683365
Uzbekistan,6.081433338
Venezuela,5.451699961
Vietnam,5.187749962
Yemen,3.609399992
Zambia,4.446899972
Zimbabwe,3.88870001
